"SKRILL_FRONTEND_PM_FLEXIBLE", "Pay By Skrill"
"SKRILL_FRONTEND_PM_WLT", "Skrill Wallet"
"SKRILL_FRONTEND_PM_PSC", "Paysafecard"
"SKRILL_FRONTEND_PM_ACC", "Credit Card / Visa, Mastercard, AMEX, Diners, JCB"
"SKRILL_FRONTEND_PM_VSA", "Visa"
"SKRILL_FRONTEND_PM_MSC", "MasterCard"
"SKRILL_FRONTEND_PM_VSD", "Visa Delta/Debit"
"SKRILL_FRONTEND_PM_VSE", "Visa Electron"
"SKRILL_FRONTEND_PM_MAE", "Maestro"
"SKRILL_FRONTEND_PM_AMX", "American Express"
"SKRILL_FRONTEND_PM_DIN", "Diners"
"SKRILL_FRONTEND_PM_JCB", "JCB"
"SKRILL_FRONTEND_PM_GCB", "Carte Bleue by Visa"
"SKRILL_FRONTEND_PM_DNK", "Dankort by Visa"
"SKRILL_FRONTEND_PM_PSP", "PostePay by Visa"
"SKRILL_FRONTEND_PM_CSI", "CartaSi by Visa"
"SKRILL_FRONTEND_PM_OBT", "Rapid Transfer"
"SKRILL_FRONTEND_PM_GIR", "Giropay"
"SKRILL_FRONTEND_PM_DID", "Direct Debit / ELV"
"SKRILL_FRONTEND_PM_SFT", "Sofortueberweisung"
"SKRILL_FRONTEND_PM_EBT", "Nordea Solo"
"SKRILL_FRONTEND_PM_IDL", "iDEAL"
"SKRILL_FRONTEND_PM_NPY", "EPS (Netpay)"
"SKRILL_FRONTEND_PM_PLI", "POLi"
"SKRILL_FRONTEND_PM_PWY", "Przelewy24"
"SKRILL_FRONTEND_PM_EPY", "ePay.bg"
"SKRILL_FRONTEND_PM_GLU", "Trustly"
"SKRILL_FRONTEND_PM_NTL", "Neteller"
"SKRILL_FRONTEND_PM_ALI", "Alipay"
"FRONTEND_PM_CC", "Credit Card"
"FRONTEND_PM_DD", "Lastschrift (ELV)"
"FRONTEND_PM_EPS", "eps"
"FRONTEND_PM_GIROPAY", "giropay"
"FRONTEND_PM_IDEAL", "iDeal"
"FRONTEND_PM_PAYPAL", "PayPal"
"FRONTEND_PM_SOFORTBANK", "SOFORT &Uuml;berweisung"
"FRONTEND_PM_SOFORT", "SOFORT &Uuml;berweisung"
"FRONTEND_PM_PAYOLUTIONINV", "Payolution Invoice"
"FRONTEND_PM_PAYOLUTIONINS", "Payolution Installment"
"FRONTEND_PM_PAYSAFECARD", "Paysafecard"
"FRONTEND_PM_PAYTRAIL", "Paytrail"
"FRONTEND_PM_YANDEX", "Yandex"

"SKRILL_BACKEND_GENERAL_SKRILL_PLUGIN_NAME", "Skrill Hosted Payment Solution"
"SKRILL_BACKEND_PM_SETTINGS", "Skrill Settings"
"SKRILL_BACKEND_PM_FLEXIBLE", "All Cards and Alternative Payment Methods"
"SKRILL_BACKEND_PM_WLT", "Skrill Wallet"
"SKRILL_BACKEND_PM_PSC", "Paysafecard"
"SKRILL_BACKEND_PM_ACC", "Credit Card / Visa, Mastercard, AMEX, Diners, JCB"
"SKRILL_BACKEND_PM_VSA", "Visa"
"SKRILL_BACKEND_PM_MSC", "MasterCard"
"SKRILL_BACKEND_PM_VSD", "Visa Delta/Debit"
"SKRILL_BACKEND_PM_VSE", "Visa Electron"
"SKRILL_BACKEND_PM_MAE", "Maestro"
"SKRILL_BACKEND_PM_AMX", "American Express"
"SKRILL_BACKEND_PM_DIN", "Diners"
"SKRILL_BACKEND_PM_JCB", "JCB"
"SKRILL_BACKEND_PM_GCB", "Carte Bleue by Visa"
"SKRILL_BACKEND_PM_DNK", "Dankort by Visa"
"SKRILL_BACKEND_PM_PSP", "PostePay by Visa"
"SKRILL_BACKEND_PM_CSI", "CartaSi by Visa"
"SKRILL_BACKEND_PM_OBT", "Rapid Transfer"
"SKRILL_BACKEND_PM_GIR", "Giropay"
"SKRILL_BACKEND_PM_DID", "Direct Debit / ELV"
"SKRILL_BACKEND_PM_SFT", "Sofortueberweisung"
"SKRILL_BACKEND_PM_EBT", "Nordea Solo"
"SKRILL_BACKEND_PM_IDL", "iDEAL"
"SKRILL_BACKEND_PM_NPY", "EPS (Netpay)"
"SKRILL_BACKEND_PM_PLI", "POLi"
"SKRILL_BACKEND_PM_PWY", "Przelewy24"
"SKRILL_BACKEND_PM_EPY", "ePay.bg"
"SKRILL_BACKEND_PM_GLU", "Trustly"
"SKRILL_BACKEND_PM_NTL", "Neteller"
"SKRILL_BACKEND_PM_ALI", "Alipay"
"BACKEND_PM_CC", "Credit Card (Enterprise)"
"BACKEND_PM_DD", "Lastschrift (ELV) (Enterprise)"
"BACKEND_PM_EPS", "eps (Enterprise)"
"BACKEND_PM_GIROPAY", "giropay (Enterprise)"
"BACKEND_PM_IDEAL", "iDeal (Enterprise)"
"SKRILL_BACKEND_PM_PAYPAL", "PayPal (Enterprise)"
"BACKEND_PM_SOFORTBANK", "SOFORT &Uuml;berweisung (Enterprise)"
"SKRILL_BACKEND_PM_PAYOLUTIONINV", "Payolution Invoice (Enterprise)"
"SKRILL_BACKEND_PM_PAYOLUTIONINS", "Payolution Installment (Enterprise)"
"BACKEND_PM_PAYSAFECARD", "Paysafecard (Enterprise)"
"SKRILL_BACKEND_PM_PAYTRAIL", "Paytrail (Enterprise)"
"SKRILL_BACKEND_PM_YANDEX", "Yandex (Enterprise)"

"SKRILL_BACKEND_MID", "Merchant ID"
"SKRILL_BACKEND_MERCHANT", "Merchant Account (email)"
"SKRILL_BACKEND_RECIPIENT", "Recipient"
"SKRILL_BACKEND_LOGO", "Logo Url"
"SKRILL_BACKEND_SHOPURL", "Shop Url"
"SKRILL_BACKEND_APIPASS", "API Password"
"SKRILL_BACKEND_SECRETWORD", "Secret word"
