"-- Please Select --","-- Please Select --"
"Add Banner","Add Banner"
"Affiliate Link","Affiliate Link"
"Affiliateplus","Affiliateplus"
"AffiliateplusBanner","AffiliateplusBanner"
"Banner Information","Banner Information"
"Banner Manager","Banner Manager"
"Banner News","Banner News"
"Banner Position","Banner Position"
"Banner Type","Banner Type"
"Banner does not exist","Banner does not exist"
"Banner information","Banner information"
"Banner was successfully deleted","Banner was successfully deleted"
"Banner was successfully saved","Banner was successfully saved"
"Banners","Banners"
"Banners Manager","Banners Manager"
"Blank","Blank"
"Bottom Left Corner","Bottom Left Corner"
"Bottom Right Corner","Bottom Right Corner"
"Cannot preview this banner!","Cannot preview this banner!"
"Change and Get Code","Change and Get Code"
"Close","Close"
"Copy and paste this source code into your website or forum.","Copy and paste this source code into your website or forum."
"Custom Link","Custom Link"
"Delete Banner","Delete Banner"
"Disabled","Disabled"
"Edit Banner ","Edit Banner "
"Enable","Enable"
"Enabled","Enabled"
"Filter:","Filter:"
"Flash","Flash"
"Frequency","Frequency"
"General Configuration","General Configuration"
"Get Affiliate Link","Get Affiliate Link"
"Get Link","Get Link"
"Hover","Hover"
"ID","ID"
"Image","Image"
"Large Image","Large Image"
"Large Image Height","Large Image Height"
"Large Image Width","Large Image Width"
"Link","Link"
"Link: ","Link: "
"Loading","Loading"
"Magestore Extension","Magestore Extension"
"Make your personal link","Make your personal link"
"Manage Banners","Manage Banners"
"New Banner","New Banner"
"No","No"
"Nofollow","Nofollow"
"Page Peel","Page Peel"
"Parent","Parent"
"Please fill one of links from our store such as: product url, category url or another pages into the text box below:","Please fill one of links from our store such as: product url, category url or another pages into the text box below:"
"Preview","Preview"
"Receive your affiliate link","Receive your affiliate link"
"Rel Nofollow","Rel Nofollow"
"Required Fields","Required Fields"
"Rotator","Rotator"
"Rotator Banners","Rotator Banners"
"STORE VIEW","STORE VIEW"
"Save And Continue Edit","Save And Continue Edit"
"Save Banner","Save Banner"
"Select Rotator Banners","Select Rotator Banners"
"Self","Self"
"Share","Share"
"Share your affiliate link","Share your affiliate link"
"Size: %sx%s","Size: %sx%s"
"Small Image","Small Image"
"Source File","Source File"
"Status","Status"
"Target","Target"
"Text","Text"
"There are no banners matching the selection.","There are no banners matching the selection."
"Title","Title"
"Title: %s","Title: %s"
"Top","Top"
"Top Left Corner","Top Left Corner"
"Top Right Corner","Top Right Corner"
"Tweet","Tweet"
"Type","Type"
"Type: %s","Type: %s"
"Unable to find banner to save","Unable to find banner to save"
"Use Default","Use Default"
"Yes","Yes"
