"%s per click.","%s per click."
"-- Please Select --","-- Please Select --"
"10px","10px"
"Action","Action"
"Add Item","Add Item"
"AffiliateplusPayPerClick","AffiliateplusPayPerClick"
"Allow Everything","Allow Everything"
"Are you sure?","Are you sure?"
"Banner","Banner"
"CSV","CSV"
"Change status","Change status"
"Commission Value (per click)","Commission Value (per click)"
"The amount affiliates will earn for each click on banner they generate. It is also shown on Affiliate Home page.","The amount affiliates will earn for each click on banner they generate. It is also shown on Affiliate Home page."
"Commissions","Commissions"
"Content","Content"
"Custom","Custom"
"Date","Date"
"Default","Default"
"Delete","Delete"
"Delete Item","Delete Item"
"Disabled","Disabled"
"Edit","Edit"
"Edit Item ","Edit Item "
"Enable Pay per Click","Enable Pay per Click"
"Enabled","Enabled"
"File","File"
"Fix commission","Fix commission"
"ID","ID"
"Item Content","Item Content"
"Item Information","Item Information"
"Item Manager","Item Manager"
"Item News","Item News"
"Item does not exist","Item does not exist"
"Item information","Item information"
"Item was successfully deleted","Item was successfully deleted"
"Item was successfully saved","Item was successfully saved"
"Items Manager","Items Manager"
"Lifetime","Lifetime"
"Monthly","Monthly"
"PPC","PPC"
"PPC Commissions","PPC Commissions"
"PPC Earnings","PPC Earnings"
"PPC Transactions","PPC Transactions"
"Pay per Click","Pay per Click"
"Pay per Click Commission","Pay per Click Commission"
"Pay per click","Pay per click"
"Pay per click Commission","Pay per click Commission"
"STORE VIEW","STORE VIEW"
"Save And Continue Edit","Save And Continue Edit"
"Save Item","Save Item"
"Status","Status"
"There are no commissions matching this selection.","There are no commissions matching this selection."
"Title","Title"
"Type","Type"
"Unable to find item to save","Unable to find item to save"
"Use Default","Use Default"
"XML","XML"
"Yearly","Yearly"
