"-- Please Select --","-- Please Select --"
"10px","10px"
"Reports","Reports"
"Action","Action"
"Add Item","Add Item"
"Are you sure?","Are you sure?"
"Banner","Banner"
"CPM","CPM"
"CSV","CSV"
"Change status","Change status"
"Commission","Commission"
"Commission Type","Commission Type"
"Commission Value (per 1000 impressions)","Commission Value (per 1000 impressions)"
"The amount affiliates will earn per 1000 impressions they generate. It is also shown on Affiliate Home page.","The amount affiliates will earn per 1000 impressions they generate. It is also shown on Affiliate Home page."
"Content","Content"
"Cpm Commissions","Cpm Commissions"
"Custom","Custom"
"Date","Date"
"Default","Default"
"Default commission: ","Default commission: "
"Delete","Delete"
"Delete Item","Delete Item"
"Disabled","Disabled"
"Edit","Edit"
"Edit Item ","Edit Item "
"Enable Pay per Mille","Enable Pay per Mille"
"Enabled","Enabled"
"File","File"
"ID","ID"
"Impressions Commissions","Impressions Commissions"
"Item Content","Item Content"
"Item Information","Item Information"
"Item Manager","Item Manager"
"Item News","Item News"
"Item does not exist","Item does not exist"
"Item information","Item information"
"Item was successfully deleted","Item was successfully deleted"
"Item was successfully saved","Item was successfully saved"
"Items Manager","Items Manager"
"PPM Earnings","PPM Earnings"
"PPM Transactions","PPM Transactions"
"Pay Per Mille","Pay Per Mille"
"Pay Per Mille Commission","Pay Per Mille Commission"
"Pay per Mille","Pay per Mille"
"Raw","Raw"
"STORE VIEW","STORE VIEW"
"Save And Continue Edit","Save And Continue Edit"
"Save Item","Save Item"
"Status","Status"
"Title","Title"
"Type","Type"
"Unable to find item to save","Unable to find item to save"
"Unique","Unique"
"Use Default","Use Default"
"XML","XML"
